docname	wiki	rank
berlin_wall_3.html	August_1961	10
berlin_wall_3.html	Embassy_of_the_United_States,_Berlin	11
berlin_wall_3.html	History_of_Germany_(1945–90)	12
berlin_wall_3.html	Cold_War_(1953–1962)	13
berlin_wall_3.html	Foreign_policy_of_the_John_F._Kennedy_administration	14
berlin_wall_3.html	Compendium_of_postage_stamp_issuers_(Ga_–_Ge)	15
berlin_wall_3.html	Staaken	16
berlin_wall_3.html	German_reunification	17
berlin_wall_3.html	Rundfunk_der_DDR	18
berlin_wall_3.html	Tear_down_this_wall!	19
berlin_wall_3.html	Republikflucht	20
berlin_wall_1.html	Berlin_Wall	1
berlin_wall_1.html	West_Berlin	2
berlin_wall_1.html	Checkpoint_Charlie	3
berlin_wall_1.html	Eastern_Bloc_emigration_and_defection	4
berlin_wall_1.html	Inner_German_border	5
berlin_wall_1.html	Development_of_the_inner_German_border	6
berlin_wall_1.html	Berlin_border_crossings	7
berlin_wall_1.html	Berlin_Friedrichstraße_station	8
berlin_wall_1.html	Steinstücken	9
berlin_wall_1.html	Iron_Curtain	10
berlin_wall_1.html	List_of_deaths_at_the_Berlin_Wall	11
berlin_wall_1.html	German_reunification	12
berlin_wall_1.html	Berlin_Crisis_of_1961	13
berlin_wall_1.html	East_Germany	14
berlin_wall_1.html	Crossing_the_inner_German_border	15
berlin_wall_1.html	Killing_of_Peter_Fechter	16
berlin_wall_1.html	Fall_of_the_inner_German_border	17
berlin_wall_1.html	Escape_attempts_and_victims_of_the_inner_German_border	18
berlin_wall_1.html	History_of_Berlin	19
berlin_wall_1.html	History_of_Germany_(1945–90)	20
berlin_wall_7.html	Tresor	1
berlin_wall_7.html	Fabian_Lenz	2
berlin_wall_7.html	Gallery_of_Beauties	3
berlin_wall_7.html	Berghain	4
berlin_wall_7.html	KitKatClub	5
berlin_wall_7.html	Berlin_Atonal	6
berlin_wall_7.html	Bernd_Stieler	7
berlin_wall_7.html	Princess_Alexandra_of_Bavaria	8
berlin_wall_7.html	Saskatchewan_Rugby_Football_Union	9
berlin_wall_7.html	Pacou	10
berlin_wall_7.html	Reaching_for_the_Moon	11
berlin_wall_7.html	Cristian_Vogel	12
berlin_wall_7.html	Ufo_(Club,_Berlin)	13
berlin_wall_7.html	Club_transmediale	14
berlin_wall_7.html	Stewart_Walker	15
berlin_wall_7.html	Hard_Wax	16
berlin_wall_7.html	BPitch_Control	17
berlin_wall_7.html	Alexander_Kowalski	18
berlin_wall_7.html	Stieler	19
